##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	D_R1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	148524
Sequences flagged as poor quality	0
Sequence length	151
%GC	61
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.376646198594166	37.0	37.0	37.0	37.0	37.0
2	36.44420430368156	37.0	37.0	37.0	37.0	37.0
3	36.44666181896528	37.0	37.0	37.0	37.0	37.0
4	36.483787132046	37.0	37.0	37.0	37.0	37.0
5	36.491947429371685	37.0	37.0	37.0	37.0	37.0
6	36.49019013762086	37.0	37.0	37.0	37.0	37.0
7	36.49447900675985	37.0	37.0	37.0	37.0	37.0
8	36.515647302792814	37.0	37.0	37.0	37.0	37.0
9	36.49796665858717	37.0	37.0	37.0	37.0	37.0
10-14	36.49808785112171	37.0	37.0	37.0	37.0	37.0
15-19	36.466742075354816	37.0	37.0	37.0	37.0	37.0
20-24	36.44444803533436	37.0	37.0	37.0	37.0	37.0
25-29	36.39033422207858	37.0	37.0	37.0	37.0	37.0
30-34	36.37743125690124	37.0	37.0	37.0	37.0	37.0
35-39	36.34507285017909	37.0	37.0	37.0	37.0	37.0
40-44	36.32749454633595	37.0	37.0	37.0	37.0	37.0
45-49	36.2871482050039	37.0	37.0	37.0	37.0	37.0
50-54	36.251298106703295	37.0	37.0	37.0	37.0	37.0
55-59	36.21943120303789	37.0	37.0	37.0	37.0	37.0
60-64	36.19460289246183	37.0	37.0	37.0	37.0	37.0
65-69	36.158290915946246	37.0	37.0	37.0	37.0	37.0
70-74	36.123567908216856	37.0	37.0	37.0	37.0	37.0
75-79	36.04685572702055	37.0	37.0	37.0	37.0	37.0
80-84	36.02597156015189	37.0	37.0	37.0	37.0	37.0
85-89	36.022407153052704	37.0	37.0	37.0	37.0	37.0
90-94	35.974825617408634	37.0	37.0	37.0	37.0	37.0
95-99	35.94401443537744	37.0	37.0	37.0	37.0	37.0
100-104	35.89831677035362	37.0	37.0	37.0	37.0	37.0
105-109	35.88387869973876	37.0	37.0	37.0	37.0	37.0
110-114	35.827341035792195	37.0	37.0	37.0	37.0	37.0
115-119	35.773141041178526	37.0	37.0	37.0	37.0	37.0
120-124	35.689558589857526	37.0	37.0	37.0	37.0	37.0
125-129	35.663881931539684	37.0	37.0	37.0	37.0	37.0
130-134	35.58969459481296	37.0	37.0	37.0	37.0	37.0
135-139	35.523031967897445	37.0	37.0	37.0	37.0	37.0
140-144	35.42693436750963	37.0	37.0	37.0	37.0	37.0
145-149	35.28342894077725	37.0	37.0	37.0	37.0	37.0
150-151	34.82295117287442	37.0	37.0	37.0	31.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.6176117596423296
1101	2	0.5532032858675748
1101	3	0.5421008213433964
1101	4	-1.231985474388928
1101	5	-1.2260029344925556
1101	6	0.488609499590531
1101	7	0.5543107643178828
1101	8	-2.846090540260306
1101	9	-1.8932113872330376
1101	10-14	-0.1764267216176023
1101	15-19	0.523698232303488
1101	20-24	0.5474398503040874
1101	25-29	0.4334733774601034
1101	30-34	0.43460757820280094
1101	35-39	0.4588768900712523
1101	40-44	0.500667195115625
1101	45-49	0.37739551492603596
1101	50-54	0.5566311836776734
1101	55-59	-0.26254569070592737
1101	60-64	0.13381587613429247
1101	65-69	0.6645190639246792
1101	70-74	0.8608478922711384
1101	75-79	0.6033491150152201
1101	80-84	0.1423452577117743
1101	85-89	0.4594891458411752
1101	90-94	0.8437084840427218
1101	95-99	0.35799831589510234
1101	100-104	0.9219122477025792
1101	105-109	0.9324801992691931
1101	110-114	0.8478205432866943
1101	115-119	0.5659239933866473
1101	120-124	0.48694804636551936
1101	125-129	0.4871721878706481
1101	130-134	0.7136304382810224
1101	135-139	0.7787146352657786
1101	140-144	0.7103415679750924
1101	145-149	1.040307113988959
1101	150-151	0.5363850602142719
1102	1	-0.6823882403576675
1102	2	0.5532032858675748
1102	3	0.5421008213433964
1102	4	0.5013478589444063
1102	5	-0.09266960115922274
1102	6	0.488609499590531
1102	7	-0.7456892356821143
1102	8	0.48724279307302965
1102	9	0.506788612766961
1102	10-14	0.37023994504906454
1102	15-19	0.16369823230348857
1102	20-24	0.3074398503040925
1102	25-29	0.09347337746010709
1102	30-34	0.4746075782028072
1102	35-39	0.11887689007125601
1102	40-44	-0.2193328048843739
1102	45-49	0.45739551492604136
1102	50-54	0.7166311836776771
1102	55-59	0.25078764262740805
1102	60-64	-0.07951745719903869
1102	65-69	0.3245190639246829
1102	70-74	-0.6791521077288607
1102	75-79	-0.8766508849847767
1102	80-84	-0.437654742288224
1102	85-89	-0.8405108541588149
1102	90-94	-0.35629151595727393
1102	95-99	-1.395335017438235
1102	100-104	-0.158087752297412
1102	105-109	-0.7075198007308003
1102	110-114	-0.3521794567132943
1102	115-119	-0.4540760066133487
1102	120-124	-1.5330519536344838
1102	125-129	-0.3528278121293553
1102	130-134	-0.27970289505230994
1102	135-139	0.18538130193243774
1102	140-144	-0.14299176535823221
1102	145-149	-0.5730262193443778
1102	150-151	-2.296948273119064
1103	1	0.6176117596423296
1103	2	0.5532032858675748
1103	3	0.5421008213433964
1103	4	0.5013478589444063
1103	5	-0.24266960115922132
1103	6	0.488609499590531
1103	7	0.5543107643178828
1103	8	0.48724279307302965
1103	9	-0.24321138723303903
1103	10-14	0.19023994504906483
1103	15-19	0.07369823230348516
1103	20-24	0.5474398503040874
1103	25-29	0.11847337746010567
1103	30-34	-0.5053924217971968
