##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	C_R2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	149038
Sequences flagged as poor quality	0
Sequence length	151
%GC	61
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.061863417383485	37.0	37.0	37.0	37.0	37.0
2	36.20533018424831	37.0	37.0	37.0	37.0	37.0
3	36.00269729867551	37.0	37.0	37.0	37.0	37.0
4	36.09933037211986	37.0	37.0	37.0	37.0	37.0
5	36.13564325876622	37.0	37.0	37.0	37.0	37.0
6	36.1920852400059	37.0	37.0	37.0	37.0	37.0
7	36.211503106590264	37.0	37.0	37.0	37.0	37.0
8	36.23513466364283	37.0	37.0	37.0	37.0	37.0
9	36.23544330975993	37.0	37.0	37.0	37.0	37.0
10-14	36.269002536265916	37.0	37.0	37.0	37.0	37.0
15-19	36.24615198808358	37.0	37.0	37.0	37.0	37.0
20-24	36.24682295790335	37.0	37.0	37.0	37.0	37.0
25-29	36.209288906185	37.0	37.0	37.0	37.0	37.0
30-34	36.19160482561494	37.0	37.0	37.0	37.0	37.0
35-39	36.17039412767214	37.0	37.0	37.0	37.0	37.0
40-44	36.15567304982622	37.0	37.0	37.0	37.0	37.0
45-49	36.120088836404136	37.0	37.0	37.0	37.0	37.0
50-54	36.10320455185926	37.0	37.0	37.0	37.0	37.0
55-59	36.06483178786618	37.0	37.0	37.0	37.0	37.0
60-64	35.98368067204337	37.0	37.0	37.0	37.0	37.0
65-69	35.943029294542335	37.0	37.0	37.0	37.0	37.0
70-74	35.899832257545064	37.0	37.0	37.0	37.0	37.0
75-79	35.862091547122205	37.0	37.0	37.0	37.0	37.0
80-84	35.8053060293348	37.0	37.0	37.0	37.0	37.0
85-89	35.77729706517802	37.0	37.0	37.0	37.0	37.0
90-94	35.730063473744956	37.0	37.0	37.0	37.0	37.0
95-99	35.699660489271196	37.0	37.0	37.0	37.0	37.0
100-104	35.56648237362283	37.0	37.0	37.0	37.0	37.0
105-109	35.47939451683463	37.0	37.0	37.0	37.0	37.0
110-114	35.374664179605205	37.0	37.0	37.0	37.0	37.0
115-119	35.20451428494746	37.0	37.0	37.0	37.0	37.0
120-124	34.94480065486655	37.0	37.0	37.0	25.0	37.0
125-129	34.67442263047008	37.0	37.0	37.0	25.0	37.0
130-134	34.343709657939584	37.0	37.0	37.0	25.0	37.0
135-139	33.93577745273018	37.0	37.0	37.0	25.0	37.0
140-144	33.48089748923094	37.0	37.0	37.0	16.6	37.0
145-149	33.05822676096029	37.0	37.0	37.0	11.0	37.0
150-151	32.32927843905581	37.0	31.0	37.0	11.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.9517970121638228
1101	2	-0.5253008441135947
1101	3	0.2435184025206638
1101	4	-0.5706675623715682
1101	5	-0.5201469360311108
1101	6	0.1371238471192342
1101	7	0.7542313498172817
1101	8	0.07306716260648471
1101	9	0.8001840925638746
1101	10-14	0.31013371242908505
1101	15-19	-0.1087617910952332
1101	20-24	0.03794652800583265
1101	25-29	-0.173918352227318
1101	30-34	0.13468887380333427
1101	35-39	-0.029987223380352646
1101	40-44	-0.006986396380362692
1101	45-49	0.17102254677770645
1101	50-54	-0.6362737235029101
1101	55-59	-0.6185605101624319
1101	60-64	-0.5272242353899941
1101	65-69	-1.208319413787109
1101	70-74	-1.6148806433991467
1101	75-79	-0.5845117816691783
1101	80-84	-1.2523141797259143
1101	85-89	-0.5213783997053767
1101	90-94	-0.7689642449365977
1101	95-99	-0.858872669713783
1101	100-104	-0.9891383546745729
1101	105-109	-1.3368773940571472
1101	110-114	-0.9049268085708491
1101	115-119	-0.7280930140910797
1101	120-124	-1.0519528121845525
1101	125-129	-2.773645520164198
1101	130-134	-1.8506238948623661
1101	135-139	-0.23496759996195493
1101	140-144	-1.114289123335503
1101	145-149	-0.6383991129882745
1101	150-151	0.35508293245244715
1102	1	-0.9482029878361757
1102	2	0.808032489219741
1102	3	-0.38981493081266905
1102	4	-0.42622311792712253
1102	5	0.8131863973022249
1102	6	0.20379051378589708
1102	7	0.15423134981728026
1102	8	-1.0602661707268481
1102	9	0.20018409256387315
1102	10-14	-0.1276440653486901
1102	15-19	-0.024317346650789773
1102	20-24	0.08683541689472207
1102	25-29	-0.09836279667175774
1102	30-34	-0.9386444595299963
1102	35-39	-0.4477650011581318
1102	40-44	0.3352358258418491
1102	45-49	-0.5200885643334061
1102	50-54	-0.3851626123918095
1102	55-59	0.1969950453931304
1102	60-64	0.6683313201655636
1102	65-69	-0.06387496934266323
1102	70-74	0.3317860232675258
1102	75-79	0.6243771072197077
1102	80-84	-0.5900919575036951
1102	85-89	0.20973271140573502
1102	90-94	-0.26896424493659765
1102	95-99	-0.24553933638044612
1102	100-104	0.29086164532542824
1102	105-109	-0.2724329496126927
1102	110-114	1.1284065247624824
1102	115-119	0.4230180970200337
1102	120-124	0.8413805211487784
1102	125-129	-0.08475663127530453
1102	130-134	0.5227094384709687
1102	135-139	0.8739212889269368
1102	140-144	-0.3987335677799493
1102	145-149	1.6593786647895001
1102	150-151	0.13286071023022572
1103	1	0.9517970121638228
1103	2	0.808032489219741
1103	3	0.9101850691873281
1103	4	-0.04930004100404517
1103	5	-0.10989052577469494
1103	6	-0.1192864092910213
1103	7	0.7542313498172817
1103	8	-1.1064200168806977
1103	9	-1.1998159074361254
1103	10-14	0.1477405500359268
1103	15-19	-0.24893273126616577
1103	20-24	-0.22701073695143492
